鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
汐止區,房地(土地+建物),新北市汐止區中興路157巷1~30號,40.74,住,,,1090412,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690805,129.89,7,0,7,有,無,9200000,70829,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWQMLPLNHPFFDF07CA
淡水區,房地(土地+建物),新北市淡水區水源街二段177巷31~60號,22.34,住,,,1090415,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010808,92.66,3,0,3,有,有,7300000,78783,,0.0,0,,RPPNMLNKNHPFFEF48CA
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路77巷1~30號,32.63,住,,,1090322,土地1建物1車位1,一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890616,190.06,3,2,2,有,有,12700000,66821,坡道平面,0.0,0,,RPROMLNKNHPFFEF78CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段99巷31~60號,24.74,住,,,1090407,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061205,169.43,3,2,2,有,有,11200000,66104,坡道平面,34.61,0,,RPTOMLSKNHPFFEF86CA
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路一段121~150號,6.4,商,,,1090410,土地1建物1車位1,四層,二十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0940714,94.85,1,1,1,有,有,6350000,66948,坡道機械,14.9,0,,RPXNMLKLNHPFFEF09CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段31~60號,27.58,住,,,1090325,土地1建物1車位1,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,171.08999999999997,3,2,2,有,有,15000000,97170,坡道平面,30.1,1300000,,RPSNMLMLNHPFFEF78CA
八里區,房地(土地+建物),新北市八里區龍米路一段181~210號,6.75,住,,,1090411,土地1建物1車位0,十層,二十九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960525,83.65,1,1,1,有,有,6750000,80693,,0.0,0,陽台外推,RPVNMLMLNHPFFEF09CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段301~330號,10.98,商,,,1090206,土地1建物1車位1,二十九層，見其他登記事項,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525,152.79000000000002,2,3,2,有,有,10250000,76024,坡道平面,30.46,950000,,RPPNMLRLNHPFFEF98CA
三重區,房地(土地+建物),新北市三重區中央南路32巷1弄1~30號,15.2,住,,,1090412,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0601223,51.7,2,1,1,有,無,5500000,106383,,0.0,0,,RPWOMLLKNHPFFGF66CA
蘆洲區,房地(土地+建物),新北市蘆洲區信義路222巷32弄1~30號,23.66,住,,,1090409,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700525,89.0,5,3,2,有,無,8850000,99438,,0.0,0,含增建或未登記建物。;,RPWPMLLKNHPFFGF76CA
蘆洲區,房地(土地+建物),新北市蘆洲區民權路121巷15弄1~30號,32.78,住,,,1090329,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700907,96.0,3,2,1,有,無,8550000,89063,,0.0,0,含增建或未登記建物。;,RPWNMLNKNHPFFGF76CA
三重區,房地(土地+建物),新北市三重區頂崁街192巷1~30號,26.24,住,,,1090429,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720608,107.2,3,0,3,有,無,8000000,74627,,0.0,0,,RPSOMLNKNHPFFGF09CA
