編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOQMLKLNHPFFHF98CC,7,11.73,見其他登記事項,見其他登記事項,102年6月19日,十三層,
RPPPMLKLNHPFFCF48CC,8,28.98,住家用,見其他登記事項,101年11月14日,二十九層,
RPPPMLKLNHPFFCF48CC,8,10.54,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPPPMLKLNHPFFCF48CC,8,.36,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPPPMLKLNHPFFCF48CC,8,1.98,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPPPMLKLNHPFFCF48CC,8,3.74,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPTPMLKLNHPFFCF88CC,22,91.27,住家用,鋼筋混凝土造,87年2月12日,八層,
RPTPMLKLNHPFFCF88CC,22,12.51,共有部分,鋼筋混凝土造,87年2月12日,八層,
RPTPMLKLNHPFFCF88CC,22,.39,共有部分,鋼筋混凝土造,87年2月12日,八層,
RPPPMLKLNHPFFGF88CC,7,48.41,住家用,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPPPMLKLNHPFFGF88CC,7,.91,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPPPMLKLNHPFFGF88CC,7,19.76,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPQPMLKLNHPFFGF98CC,7,48.41,住家用,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPQPMLKLNHPFFGF98CC,7,.91,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPQPMLKLNHPFFGF98CC,7,19.76,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPRPMLKLNHPFFGF09CC,7,47.73,住家用,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPRPMLKLNHPFFGF09CC,7,.91,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPRPMLKLNHPFFGF09CC,7,19.76,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPTPMLKLNHPFFGF66CC,7,32.05,住家用,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPTPMLKLNHPFFGF66CC,7,.58,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPTPMLKLNHPFFGF66CC,7,13.58,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPSPMLKLNHPFFGF56CC,7,47.73,住家用,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPSPMLKLNHPFFGF56CC,7,.91,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPSPMLKLNHPFFGF56CC,7,19.76,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPPNMLKLNHPFFIF88CC,21,326.20,商業用,鋼筋混凝土造,88年5月14日,九層,
RPUPMLKLNHPFFGF76CC,7,32.05,住家用,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPUPMLKLNHPFFGF76CC,7,.58,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPUPMLKLNHPFFGF76CC,7,13.58,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPVNMLKLNHPFFIF86CC,13,96.38,住家用,鋼筋混凝土造,96年4月9日,十五層,
RPVNMLKLNHPFFIF86CC,13,22.57,共有部份,鋼筋混凝土造,96年4月9日,十五層,
RPVNMLKLNHPFFIF86CC,13,50.68,共有部份,鋼筋混凝土造,96年4月9日,十五層,
RPQOMLKLNHPFFIF09CC,15,123.12,住家用,鋼筋混凝土造,93年12月20日,六層,
RPQOMLKLNHPFFIF09CC,15,31.34,共有部份,鋼筋混凝土造,93年12月20日,七層,
RPQOMLKLNHPFFIF09CC,15,9.12,共有部份,鋼筋混凝土造,93年12月20日,七層,
RPQOMLKLNHPFFIF09CC,15,29.41,共有部份,鋼筋混凝土造,93年12月20日,六層,
RPOOMLKLNHPFFEF68EC,21,32.08,住家用,鋼骨鋼筋混凝土造,88年7月4日,三十三層,
RPOOMLKLNHPFFEF68EC,21,2.81,共有部份,鋼骨鋼筋混凝土造,88年7月4日,二十六層,
RPOOMLKLNHPFFEF68EC,21,8.29,共有部份,鋼骨鋼筋混凝土造,88年7月4日,三十三層,
